Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount,Volume
NDX.GI,纳斯达克100,2025-06-24 13:30,22163.6,22172.55,22163.55,22172.55,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-24 13:35,22172.36,22180.87,22171.67,22173.87,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 13:40,22174.25,22180.22,22173.05,22180.22,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 13:45,22180.66,22192.69,22179.89,22186.83,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 13:50,22186.16,22199.22,22185.62,22193.66,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 13:55,22193.13,22201.33,22192.98,22199.22,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 14:00,22199.51,22201.11,22194.55,22201.11,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 14:05,22201.03,22207,22200.13,22200.13,0,0,0
NDX.GI,纳斯达克100,2025-06-24 14:10,22199.98,22206.41,22195.4,22201.08,0,0,0
NDX.GI,纳斯达克100,2025-06-24 14:15,22200.9,22201.5,22191.69,22193.34,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 14:20,22196.36,22197.31,22190.45,22193.32,0,0,0
NDX.GI,纳斯达克100,2025-06-24 14:25,22193.07,22199.42,22193.07,22196.6,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 14:30,22196.95,22198.85,22190.91,22191.84,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 14:35,22191.44,22192.11,22185.17,22191.95,0,0,0
NDX.GI,纳斯达克100,2025-06-24 14:40,22191.7,22202.57,22191.51,22202.02,0.0005,0,0
NDX.GI,纳斯达克100,2025-06-24 14:45,22201.99,22201.99,22194.61,22197.88,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 14:50,22199.59,22201.06,22193.81,22195.69,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 14:55,22195.55,22196.07,22190.77,22191.36,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 15:00,22191.81,22208.25,22191.06,22207.16,0.0007,0,0
NDX.GI,纳斯达克100,2025-06-24 15:05,22207.18,22215.68,22206.48,22211.09,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 15:10,22216.53,22220.64,22213.59,22214.4,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 15:15,22214.16,22214.16,22206.14,22209.08,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 15:20,22209.33,22211.96,22204.63,22208.24,0,0,0
NDX.GI,纳斯达克100,2025-06-24 15:25,22208.25,22208.93,22203.71,22204.09,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 15:30,22203.9,22205.22,22195.71,22197.71,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 15:35,22197.58,22208.66,22195.47,22199.8,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-24 15:40,22202.03,22202.31,22196.69,22200.19,0,0,0
NDX.GI,纳斯达克100,2025-06-24 15:45,22200.33,22200.42,22193.29,22193.36,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 15:50,22188.74,22205.83,22188.3,22197.27,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-24 15:55,22197.22,22205.27,22190.83,22191.61,-0.0003,0,0
NDX.GI,纳斯达克100,2025-06-24 16:00,22191.32,22197.28,22188.54,22190.52,0,0,0
NDX.GI,纳斯达克100,2025-06-25 09:30,22279.69,22305.86,22278.52,22295.44,0.0047,0,0
NDX.GI,纳斯达克100,2025-06-25 09:35,22295.2,22306.58,22285.69,22299.71,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-25 09:40,22299.74,22329.02,22299.71,22325.48,0.0012,0,0
NDX.GI,纳斯达克100,2025-06-25 09:45,22325.23,22329.23,22312.52,22321.69,-0.0002,0,0
NDX.GI,纳斯达克100,2025-06-25 09:50,22321.72,22322.38,22275.42,22275.42,-0.0021,0,0
NDX.GI,纳斯达克100,2025-06-25 09:55,22276.03,22298.72,22265.17,22297.59,0.001,0,0
NDX.GI,纳斯达克100,2025-06-25 10:00,22300.6,22312.3,22296.22,22299.64,0.0001,0,0
NDX.GI,纳斯达克100,2025-06-25 10:05,22295.79,22295.98,22274.12,22291.6,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-25 10:10,22292.12,22296.42,22277.53,22279.95,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-25 10:15,22279.35,22280.11,22254.72,22255.53,-0.0011,0,0
NDX.GI,纳斯达克100,2025-06-25 10:20,22255.73,22276.02,22252.87,22268.43,0.0006,0,0
NDX.GI,纳斯达克100,2025-06-25 10:25,22263.02,22272.97,22248.18,22272.93,0.0002,0,0
